UID          PID    PPID  C STIME TTY          TIME CMD
root         380       2  0 14:13 ?        00:00:00 [hwrng]
root         419       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-journald
root         446       2  0 14:13 ?        00:00:00 [ipmi-msghandler]
root         460       2  0 14:13 ?        00:00:00 [kaluad]
root         463       2  0 14:13 ?        00:00:00 [kmpath_rdacd]
root         464       2  0 14:13 ?        00:00:00 [kmpathd]
root         465       2  0 14:13 ?        00:00:00 [kmpath_handlerd]
root         466       1  0 14:13 ?        00:00:04 /sbin/multipathd -d -s
root         470       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-udevd
root         518       2  0 14:13 ?        00:00:00 [scsi_eh_0]
root         519       2  0 14:13 ?        00:00:00 [scsi_tmf_0]
root         520       2  0 14:13 ?        00:00:03 [usb-storage]
root         521       2  0 14:13 ?        00:00:00 [uas]
root         547       2  0 14:13 ?        00:00:00 [jbd2/vda2-8]
root         548       2  0 14:13 ?        00:00:00 [ext4-rsv-conver]
systemd+     612       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     648       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     650       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-resolved
root         672       1  0 14:13 ?        00:00:00 /usr/sbin/cron -f -P
message+     673       1  0 14:13 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         680       1  0 14:13 ?        00:00:02 /usr/sbin/irqbalance --foreground
root         681       1  0 14:13 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         682       1  0 14:13 ?        00:00:00 /usr/libexec/polkitd --no-debug
syslog       683       1  0 14:13 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         687       1  0 14:13 ?        00:00:00 /lib/systemd/systemd-logind
root         691       1  0 14:13 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         695       1  0 14:13 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
root         708       1  0 14:13 tty1     00:00:00 /bin/login -p --
root         730       1  0 14:13 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         731       1  0 14:13 ?        00:00:00 /usr/sbin/ModemManager
root         732       1  0 14:13 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
raemath+     993       1  0 14:18 ?        00:00:00 /lib/systemd/systemd --user
raemath+     994     993  0 14:18 ?        00:00:00 (sd-pam)
raemath+    1000     708  0 14:18 tty1     00:00:00 -bash
root        1035       2  0 14:28 ?        00:00:08 [kworker/0:0-events]
root        1108       2  0 14:28 ?        00:00:04 [kworker/3:1-cgwb_release]
root        1121       1  0 14:28 ?        00:00:00 /usr/libexec/packagekitd
root        1937       2  0 16:11 ?        00:00:01 [kworker/3:0-events]
root        1938       1  0 16:11 ?        00:00:07 /usr/lib/snapd/snapd
root        2808       2  0 18:32 ?        00:00:00 [kworker/u8:3-events_unbound]
root        2833       2  0 18:48 ?        00:00:00 [kworker/2:0-events]
root        2836       2  0 18:49 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root        3124       2  0 18:59 ?        00:00:00 [kworker/1:0-events]
root        3128       2  0 19:04 ?        00:00:00 [kworker/0:1-events]
root        3249       2  0 19:06 ?        00:00:00 [kworker/1:1]
root        3251       2  0 19:06 ?        00:00:00 [kworker/u8:4-events_power_efficient]
root        3259       2  0 19:09 ?        00:00:00 [kworker/0:2-events]
root        3406       2  0 19:09 ?        00:00:00 [kworker/2:1]
root        3410       2  0 19:09 ?        00:00:00 [kworker/3:2]
raemath+    3595    1000  0 19:12 tty1     00:00:00 ps -ef
